Links,Scraped
https://docs.sqlalchemy.org/en/20/orm/queryguide/_dml_setup.html,True
https://docs.sqlalchemy.org/en/20/tutorial/index.html,True
https://docs.sqlalchemy.org/en/20/orm/queryguide/dml.html,True
https://docs.sqlalchemy.org/en/20/changelog/changelog_14.html,True
https://docs.sqlalchemy.org/en/20/changelog/migration_11.html,True
https://docs.sqlalchemy.org/en/20/,True
https://docs.sqlalchemy.org/en/20/genindex.html,False
https://docs.sqlalchemy.org/en/20/orm/queryguide/_plain_setup.html,True
https://docs.sqlalchemy.org/en/20/changelog/migration_07.html,True
https://docs.sqlalchemy.org/en/20/copyright.html,True
https://docs.sqlalchemy.org/en/20/faq/metadata_schema.html,True
https://docs.sqlalchemy.org/en/20/orm/session_transaction.html,True
https://docs.sqlalchemy.org/en/20/faq/performance.html,True
https://docs.sqlalchemy.org/en/20/orm/extending.html,True
https://docs.sqlalchemy.org/en/20/tutorial/dbapi_transactions.html,True
https://docs.sqlalchemy.org/en/20/changelog/migration_10.html,True
https://docs.sqlalchemy.org/en/20/orm/self_referential.html,True
https://docs.sqlalchemy.org/en/20/orm/exceptions.html,True
https://docs.sqlalchemy.org/en/20/orm/persistence_techniques.html,True
https://docs.sqlalchemy.org/en/20/orm/extensions/index.html,True
https://docs.sqlalchemy.org/en/20/changelog/changelog_13.html,True
https://docs.sqlalchemy.org/en/20/core/type_basics.html,True
https://docs.sqlalchemy.org/en/20/changelog/changelog_07.html,True
https://docs.sqlalchemy.org/en/20/glossary.html,True
https://docs.sqlalchemy.org/en/20/changelog/migration_04.html,True
https://docs.sqlalchemy.org/en/20/orm/mapped_sql_expr.html,True
https://docs.sqlalchemy.org/en/20/core/metadata.html,True
https://docs.sqlalchemy.org/en/20/changelog/migration_13.html,True
https://docs.sqlalchemy.org/en/20/orm/relationships.html,True
https://docs.sqlalchemy.org/en/20/orm/session_api.html,True
https://docs.sqlalchemy.org/en/20/orm/queryguide/relationships.html,True
https://docs.sqlalchemy.org/en/20/core/serializer.html,True
